fid	title	description	category	price	length	rating	actors
376	Grapes Fury	A Boring Yarn of a Mad Cow And a Sumo Wrestler who must Meet a Robot in Australia	Foreign	0.9900	155	G	Carmen Hunt, Henry Berry, Mary Tandy, Lucille Dee, Burt Temple
50	Baked Cleopatra	A Stunning Drama of a Forensic Psychologist And a Husband who must Overcome a Waitress in A Monastery	Family	2.9900	182	G	Michelle Mcconaughey
960	Wars Pluto	A Taut Reflection of a Teacher And a Database Administrator who must Chase a Madman in The Sahara Desert	Documentary	2.9900	128	G	Mary Tandy, Minnie Zellweger, Ed Guiness, Burt Temple
791	Show Lord	A Fanciful Saga of a Student And a Girl who must Find a Butler in Ancient Japan	Documentary	4.9900	167	PG-13	Kenneth Paltrow, Kevin Garland
541	Luke Mummy	A Taut Character Study of a Boy And a Robot who must Redeem a Mad Scientist in Ancient India	Animation	2.9900	74	NC-17	Cuba Olivier, Christian Akroyd, Angela Hudson, Burt Posey, Rita Reynolds, John Suvari, Bela Walken, Mary Keitel, Julia Fawcett
642	Order Betrayed	A Amazing Saga of a Dog And a A Shark who must Challenge a Cat in The Sahara Desert	Travel	2.9900	120	PG-13	Angelina Astaire, Spencer Depp, Morgan Hopkins, Penelope Monroe, Greta Malden, Kenneth Hoffman, Humphrey Garland
844	Steers Armageddon	A Stunning Character Study of a Car And a Girl who must Succumb a Car in A MySQL Convention	Sports	4.9900	140	PG	Dan Harris, Dan Streep, Fay Wood, Oprah Kilmer
543	Madigan Dorado	A Astounding Character Study of a A Shark And a A Shark who must Discover a Crocodile in The Outback	Travel	4.9900	116	R	Ray Johansson, Milla Keitel, Minnie Zellweger, Kirsten Akroyd, Jon Chase, Gene Mckellen
490	Jumanji Blade	A Intrepid Yarn of a Husband And a Womanizer who must Pursue a Mad Scientist in New Orleans	New	2.9900	121	G	Jennifer Davis, Bob Fawcett, Nick Stallone, Gary Phoenix, Mena Temple, Jim Mostel
444	Hustler Party	A Emotional Reflection of a Sumo Wrestler And a Monkey who must Conquer a Robot in The Sahara Desert	Comedy	4.9900	83	NC-17	Alec Wayne, Angelina Astaire, Minnie Kilmer, Christopher West
790	Shootist Superfly	A Fast-Paced Story of a Crocodile And a A Shark who must Sink a Pioneer in Berlin	Drama	0.9900	67	PG-13	Woody Hoffman, Julia Barrymore, Fay Kilmer
546	Madre Gables	A Intrepid Panorama of a Sumo Wrestler And a Forensic Psychologist who must Discover a Moose in The First Manned Space Station	Games	2.9900	98	PG-13	Tom Miranda, Penelope Pinkett, Daryl Wahlberg, Matthew Carrey
225	Destination Jerk	A Beautiful Yarn of a Teacher And a Cat who must Build a Car in A U-Boat	Drama	0.9900	76	PG-13	Grace Mostel, Rip Crawford, Cameron Wray
